State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
MI 	1,741	2015 	ST. JOHNS TRAILSIDE PARKWAY DEVELOPMENT 	A 	101,700.00	D 	CITY OF ST. JOHNS 	Improve Trailside Park by constructing trailhead facilities, a restroom, an expanded parking lot, lighting, picnic tables, bike racks, and walkways. Trailside Park is adjacent to the 41-mile Fred Meijer Clinton-Ionia-Shiawassee Trail. 	TRAILSIDE PARK 	CLINTON 	4	  0.7
MI 	1,742	2015 	MARLETTE POOL IMPROVEMENTS 	A 	107,800.00	R 	CITY OF MARLETTE 	Improve the Marlette community pool by renovating the wading pool into a splash park, replacing the pool liner in the large pool, adding a building to house the mechanical, plumbing and electrical components for the splash pad, and constructing an accessible 6’ wide pathway from the parking lot to the splash play area. 	MARLETTE CITY PARK 	SANILAC 	10	  17.0
MI 	1,743	2015 	DELTA MILLS PICKLEBALL COURTS 	A 	35,800.00	D 	TOWNSHIP OF DELTA 	Improve Delta Mills Park by converting two tennis courts into six pickleball courts. This includes site demolition, surface preparation and application, court equipment, fencing, and a walkway. Delta Mills Park is a 32 acre community park located on Old River Trail along the Grand River. 	DELTA MILLS PARK 	EATON 	7	  32.0
MI 	1,744	2015 	PEBBLE CREEK PLAY AREA PROJECT 	A 	110,200.00	D 	CITY OF SOUTHFIELD 	Improve Pebble Creek Park by renovating a play area with new equipment, surfacing, drainage, site furnishings, landscaping, and walkways. 	PEBBLE CREEK PARK 	OAKLAND 	14	  15.4
MI 	1,745	2015 	SOUTH HAVEN FISHING PLATFORM - BANK STABILIZATION 	A 	86,100.00	D 	CITY OF SOUTH HAVEN 	Improve Black River Park by stabilizing the riverbank (stonework installation) and constructing a fishing platform and parking lot plus general landscaping. 	BLACK RIVER PARK 	VAN BUREN 	6	  15.5
MI 	1,746	2015 	FRIENDSHIP PARK BALLFIELD LIGHTING 	A 	110,200.00	D 	TOWNSHIP OF ORION 	Improve Friendship Park by adding lights to the ball fields. 	FRIENDSHIP PARK 	OAKLAND 	9	  135.1
MI 	1,747	2015 	DEREMO ACCESS SITE 	A 	33,100.00	D 	MUSKEGON COUNTY 	Improve the Deremo boat launch access site on Big Blue Lake plus construct a vault toilet, add a canoe/kayak rack, and pave the parking lot. 	DEREMO BOAT LAUNCH 	MUSKEGON 	2	  10.0
MI 	1,748	2015 	SILVER LAKE STATE PARK BOATING ACCESS AND DAY USE 	A 	220,400.00	D 	DEPT. OF NATURAL RESOURCES 	Improve Silver Lake State Park by reconfiguring the parking lot and entrance drive to accommodate a new boat ramp and constructing a vault toilet, access pathways between the new boating access site and the day use area, benches, bike racks, litter/recycle receptacles, and landscaping. 	SILVER LAKE STATE PARK 	Oceana 	2	  85.0
MI 	1,749	2015 	ORLP-BELLE ISLE STATE PARK ATHLETIC COMPLEX 	A 	325,000.00	D 	DEPT. OF NATURAL RESOURCES  	Restore baseball/softball fields and soccer/lacrosse fields, renovate basketball courts, tennis courts and relocate the cricket/rugby fields. This project will also include a trailhead and new playground. 	BELLE ISLE PARK 	Wayne 	14	  982.0
MN 	1,396	2015 	WATERFRONT RECREATION AREA 	A 	75,000.00	R 	CITY OF WOLF LAKE 	Improve the Waterfront Recreation Area by expanding camping and parking, adding signage, tree planting, and general landscaping. An accessible fishing pier will be added and the existing boat dock will be relocated to the north away from the swimming beach. 	WATERFRONT RECREATION AREA 	Becker 	7	  11.8
MN 	1,398	2015 	SHERIDAN MEMORIAL PARK 	A 	500,000.00	D 	CITY OF MINNEAPOLIS 	Construct a playground, picnic shelter, trails, and support facilities within Sheridan Memorial Park. 	SHERIDAN MEMORIAL PARK 	HENNEPIN 	5	  3.5
MN 	1,399	2015 	ECKSTEIN ATHLETIC FIELD 	A 	100,000.00	R 	CITY OF PLAINVIEW 	Redevelop a playground, construct restrooms, walkways, and a picnic shelter, and improve the ball field. 	ECKSTEIN ATHLETIC FIELD 	WABASHA 	2	  11.8
MN 	1,400	2015 	ZUMBROTA COVERED BRIDGE PARK 	A 	75,000.00	D 	CITY OF ZUMBROTA 	Construct a picnic shelter with restrooms, drinking fountains, and an information kiosk within Covered Bridge Park to serve as the trail head for the Goodhue Pioneer Trail. 	COVERED BRIDGE PARK 	Goodhue 	2	  104.0
MN 	1,401	2015 	REZAC NATURE PRESERVE 	A 	25,000.00	D 	CITY OF LONSDALE 	Construct a fishing pier and boardwalk within the Rezac Nature Preserve. 	REZAC NATURE PRESERVE 	RICE 	1	  25.9
MN 	1,402	2015 	SHERLOCK PARK 	A 	50,000.00	R 	CITY OF EAST GRAND FORKS 	Improve 21-acre Sherlock Park by constructing picnic facilities, installing playground equipment, and renovating a swimming pool. 	SHERLOCK PARK 	POLK 	7	  21.0
MN 	1,403	2015 	BEACH STREET PARK 	A 	83,638.00	R 	CITY OF SPICER 	The City of Spicer will develop sports and playfields and support facilities at Beach Street Park.	BEACH STREET PARK 	KANDIYOHI 	7	  2.2
MO 	1,619	2015 	McAULEY PLAYGROUND 	A 	83,333.00	D 	CITY OF COTTLEVILLE 	The city of Cottleville will construct an all-inclusive playground on 1.5 acres of donated land and which will be known as McAuley Playground. The playground includes rubber surfacing that meets safety and accessibility requirements, play structures that meet a variety of special needs. 	McAULEY PLAYGROUND 	SAINT CHARLES 	2	  1.5
MO 	1,626	2015 	RENOVATE PLAY SURFACE AT OAK GROVE PARK 	A 	17,631.00	R 	CITY OF GLADSTONE 	Renovate the surface beneath the play structure at Oak Grove Park to maintain and upgrade the safety and accessibility features. 	OAK GROVE PARK 	Clay 	6	  18.0
MO 	1,628	2015 	PARIS PLAYGROUND EQUIPMENT RENOVATION PROJECT 	A 	21,250.00	R 	CITY OF PARIS 	Replace the playground equipment at Paris City Park (Fairground Park). 	FAIRGROUND PARK 	MONROE 	8	  0.4
MO 	1,629	2015 	HANEY PARK IMPROVEMENTS 	A 	82,660.00	R 	CITY OF PARK HILLS 	Install trail lighting and exercise stations plus constructing tennis courts at Haney Park. 	HANEY PARK 	SAINT FRANCOIS 	8	  29.1
MO 	1,630	2015 	ADA TRACK AND FIELD PROJECT 	A 	83,334.00	R 	PRINCETON R-V SCHOOL DISTRICT 	Renovate a ¼ mile walking/running track for the city residents and the school. 	PRINCETON R-V SCHOOL TRACK 	MERCER 	6	  1.2
MO 	1,631	2015 	MISSOURI RIVERFRONT TRAIL PROJECT 	A 	83,334.00	D 	CITY OF RIVERSIDE 	The city of Riverside, the city of Parkville, and Platte County jointly construct a 0.5-mile asphalt trail to connect the Missouri Riverfront Trail to the City of Platte Trail. 	MISSOURI RIVERFRONT TRAIL 	PLATTE 	6	  1.3
MO 	1,632	2015 	DRAKE HARBOR RECREATION AREA IMPROVEMENTS 	A 	62,833.00	R 	CITY OF WARSAW 	The city of Warsaw will improving the Drake Harbor Outdoor Recreation Park by constructing accessible walking paths and installing lighting and landscaping. 	GORDON HOWARD DRAKE HARBOR PARK 	Benton 	5	  43.4
MO 	1,633	2015 	LITTLE HEROS PLAYGROUND IN ROUBIDOUX PARK 	A 	83,334.00	D 	CITY OF WAYNESVILLE 	The city of Waynesville will construct an accessible playground at Roubidoux Park and upgrading the safety surface. 	ROUBIDOUX PARK 	Pulaski 	4	  26.0
MO 	1,635	2015 	BRECKENRIDGE TRACK PROJECT 	A 	83,334.00	R 	KING CITY R-1 SCHOOL DISTRICT 	The King City R-1 School District will renovate a ¼ mile walking/running track for the city residents and the school. 	BRECKENRIDGE FITNESS PARK 	GENTRY 	6	  2.3
MO 	1,636	2015 	POLO COMMUNITY WALKING TRACK PROJECT 	A 	83,334.00	R 	POLO R-VII SCHOOL DISTRICT 	The Polo R-VII School District will renovate a ¼ mile walking/running track for the city residents and the school. 	POLO R-VII SCHOOL TRACK 	CALDWELL 	6	  6.9
MO 	1,637	2015 	ADA IMPROVEMENTS AT THE CUBA SPORTS COMPLEX 	A 	55,100.00	R 	CITY OF CUBA 	The city of Cuba will renovate the Sports Complex to meet the current accessibility regulations by constructing accessible walkways and restrooms plus upgrading the concession and restroom building. 	CUBA SPORTS COMPLEX 	CRAWFORD 	3	  22.0
MS 	636	2015 	BALLFIELD LIGHTING @BOSTON PARK & BOOTS SMITH PARK 	A 	136,275.00	D 	CITY OF LAUREL 	Replace the existing wooden baseball field lights on the original fields at Boots Smith Park, with the installation of new baseball fields light atop concrete poles and electrical support for two (2) ball fields and new electrical support. 	BOOTS SMITH PARK 	JONES 	4	  7.4
MS 	636	2015 	BALLFIELD LIGHTING @BOSTON PARK & BOOTS SMITH PARK 	A 		D 	CITY OF LAUREL 	Replace the existing wooden baseball field lights on the original fields at Boston Park, with the installation of new baseball fields light atop concrete poles and electrical support for one (1) ball field and new electrical support. 	BOSTON PARK 	JONES 	4	  21.3
MS 	637	2015 	SALTILLO CITY PARK TENNIS IMPROVEMENTS 	A 	86,500.00	D 	CITY OF SALTILLO 	The City of Saltillo is proposing the rehabilitation of three existing tennis courts at Saltillo City Park. The park also plans to construct a fourth tennis court conjoined at the end of the existing three courts. All four tennis courts would be lighted. 	SALTILLO CITY PARK 	Lee 	1	  15.0
MS 	638	2015 	DUNCAN PARK PHASEII 	A 	150,000.00	D 	CITY OF NATCHEZ 	The City of Natchez proposes to demolish two obsolete park buildings at Duncan Park – the cinder block men’s and ladies restrooms and tennis pro shop and construct a new building that will contain these two facilities and a walk-up concession area. This will improve the recreation experience at Duncan Park and facilities will be ADA accessible.  	DUNCAN PARK 	ADAMS 	3	  208.0
MS 	639	2015 	CITY OF OLIVE BRANCH 	A 	150,000.00	D 	CITY OF OLIVE BRANCH 	The City of Olive Branch proposes to develop and construct the Olive Branch Inclusive Community Playground to include various play areas, sidewalks/pathways (handicapped accessible), site amenities, family sitting area, shelter, bathrooms, and parking lot.   	CITY OF OLIVE BRANCH 	DESOTO 	1	  58.6
MS 	639	2015 	CITY OF OLIVE BRANCH 	A 	150,000.00	D 	CITY OF OLIVE BRANCH 	The City of Olive Branch proposes to develop and construct the Olive Branch Inclusive Community Playground to include various play areas, sidewalks/pathways (handicapped accessible), site amenities, family sitting area, shelter, bathrooms, and parking lot.   	OLIVE BRANCH COMMUNITY PARK 	DeSoto 	1	  19.0
MS 	640	2015 	MARSHALL PARK TRAIL EXPANSION PROJECT 	A 	92,000.00	D 	CITY OF WEST POINT 	Construct a walking trail in the northern portion of the Marshall Park. This would provide an additional recreational activity. The trail would also be ADA compliant, which would allow for more community members in wheelchairs to be able to use the trail. The trail will be accessible for all to enjoy. There will be multiple access points to the park and three different parking areas for Marshall Park.  	MARSHALL PARK 	ADAMS 	1	  24.0
MS 	641	2015 	SAM COOPWOOD IMPROVEMENTS 	A 	50,022.00	D 	CITY OF HOLY SPRINGS 	Rehabilitate and repair aging facilities inside the Sam Coopwood Park facility. The proposal includes the replacement of fencing, upgrades to Restrooms, Concession Stand, Baseball Dugouts, and new construction of a Pavilion. The picnic pavilion will be constructed on an existing concrete pad. This is an existing Land and Water Conservation Fund site and has access and parking in place. 	SAM COOPWOOD 	MARSHALL 	1	  30.0
MS 	644	2015 	TUPELO-THERON NICHOLS PARK SPLASH PAD 	A 	150,000.00	D 	CITY OF TUPELO 	The City of Tupelo is proposing to install a 4,200 sq. ft. splash pad at Theron Nichols Park. The splash pad will consist of a toddlers’ area as well as an area for older children and families, and planned components include a variety of spray, splash, and waterfall features. Access to the splash pad will be through the entrance of the Park at 1743 Mitchell Road. There is a gravel parking available already near the proposed splash pad site, but two paved designated disabled access spaces will be added to the existing lot at the point closeout to the splash pad, and a sidewalk, will be constructed from the parking area to the splash pad to improve access.  	THERON NICHOLS PARK 	LEE 	1	  0.6
MS 	645	2015 	COLUMBIA PARK IMPROVEMENTS PHASE II FRIENDSHIP PAR 	A 	26,000.00	D 	CITY OF COLUMBIA 	The City of Columbia is proposing to renovate the existing tennis courts at Friendship Park.  	FRIENDSHIP PARK  	Marion 	4	  10.2
MS 	646	2015 	PERCY QUIN STATE PARK GOLF CLUBHOUSE 	A 	153,159.00	D 	MS DEPARTMENT OF WILDLIFE, FISHERIES & PARKS 	The MS Department of Wildlife, Fisheries, and Parks is proposing to renovate the Percy Quin State Park Golf Clubhouse. The scope of work includes renovations and additions to the golf clubhouse. The long-term benefits would provide for a more efficient operation of the clubhouse and decreased maintenance costs. 	PERCY QUIN STATE PARK 	Pike 	0	  1,701.0
MS 	647	2015 	THAXTON PARK IMPROVEMENTS-PLAYGROUND 	A 	30,000.00	D 	TOWN OF THAXTON 	The Town of Thaxton is proposing to install new playground equipment at the Thaxton Park Playground. 	THAXTON TOWN PARK 	PONTOTOC 	1	  0.5
MS 	648	2015 	JASPER COUNTY-BEAVER MEADOW COMMUNITY PARK 	A 	35,000.00	D 	JASPER COUNTY BOARD OF SUPERVISORS 	Jasper County Board of Supervisors is proposing to construct a playground, regulated baseball field, dugouts, fencing, and gates in the Beaver Meadow Community Park. 	BEAVER MEADOW COMMUNITY PARK 	JASPER 	3	  5.0
MS 	649	2015 	TAYLORSVILLE NEIGHBORHOOD PARK (LEAF RIVER) PHASE  	A 	31,000.00	D 	TOWN OF TAYLORSVILLE 	The Town of Taylorsville is proposing to make needed repairs to Taylorsville Neighborhood (Leaf River) Park, including repairs to the concrete tennis court, installation of bleachers, replacement of/or renovations to the restroom facilities, repairs to the existing concrete trail, and extension of the trail (new development). 	TAYLORSVILLE NEIGHBORHOOD PARK 	SMITH 	3	  1.8
MS 	650	2015 	MORTON CITY PARK,PHASE III FASSIS PARK 	A 	45,000.00	D 	CITY OF MORTON 	The City of Morton proposes to repair and replace the lighting on the four baseball fields at Farris Park. The City will install new lights, new lamps, and new wiring from the lights to the existing J-box at the top of each pole. Five existing poles that are currently leaning will also be straightened as much as possible and guy wires will be installed as necessary. 	FARRIS PARK 	SCOTT 	3	  20.0
MS 	651	2015 	QUITMAN CITY PARK-KIRKLAND 	A 	12,500.00	D 	CITY OF QUITMAN 	The City of Quitman is proposing to add new playground equipment to Kirkland Park, which will be replacing old existing playground equipment. The addition of the playground will give the children in the area new safe recreational opportunities 	KIRKLAND PARK 	CLARKE 	3	  1.5
MT 	734	2015 	FINLEY POINT STATE PARK DEVELOPMENT 	A 	200,000.00	R 	STATE OF MONTANA 	The State of Montana Department of Fish, Wildlife and Parks will renovate the Finley Point State Park campground area and entrance. The scope entails reconfiguring the existing campsites and constructing 12 new campsites, all with utilities; constructing tent only campsites; constructing yurts; constructing parking; and improving the park entrance. 	FINLEY POINT STATE PARK 	LAKE 	0	  27.8
NC 	1,040	2015 	MOUNT JEFFERSON SNA LAND ACQUISITION 	C 	589,000.00	A 	NC DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES 	Acquire approximately 110.8 acres to expand Mount Jefferson SNA, an existing LWCF-protected site.	MOUNT JEFFERSON SNA 	Ashe 	5	  640.0
ND 	1,308	2015 	FORT RANSOM STATE PARK VISITOR SERVICE CENTER 	A 	388,794.00	D 	STATE OF NORTH DAKOTA 	North Dakota State Parks will construct a visitor contact center at Fort Ransom State Park. This park is located along the North Country National Recreation Trail. 	FORT RANSOM STATE PARK 	Ransom 	0	  946.6
NE 	1,022	2015 	PLUM CREEK PARK - LEXINGTON 	A 	30,000.00	R 	CITY OF LEXINGTON 	The city of Lexington will construct 3 accessible fishing piers and applying an alum treatment to the 5.5-acre lake within the 25-acre Plum Creek Park. 	PLUM CREEK PARK 	Dawson 	3	  25.1
NE 	1,023	2015 	LEVI CARTER PARK - OMAHA 	A 	100,000.00	R 	CITY OF OMAHA 	The city of Omaha will Improve the 525-acre Levi Carter Park by replacing the 1970’s outdated, unsafe playground equipment with new play structures, climbing towers, a bank of swings, and an accessible rubber safety surface. Additionally, walkways connecting the play area to other features within the park will be added as well as general landscaping. 	LEVI CARTER PARK 	DOUGLAS 	2	  491.0
NE 	1,024	2015 	FIRTH PARK SPLASH PAD - FIRTH 	A 	84,750.00	D 	VILLAGE OF FIRTH 	The village of Firth will improve the 2.07-acre Firth Park by installing a 1,334 square foot zero-depth splash pad equipped with eight water spray structures or ground spray features. 	FIRTH CITY PARK 	LANCASTER 	1	  2.1
NE 	1,025	2015 	WINSHIP PARK PLAYGROUND - GORDON 	A 	50,000.00	R 	CITY OF GORDON 	The city of Gordon will improve the 2.7-acre Winship Park by replacing the aging, outdated playground equipment and replacing this with modern, multiple-station play apparatus. 	WINSHIP PARK 	Sheridan 	3	  2.7
NE 	1,026	2015 	NATURE PARK - BLOOMFIELD 	A 	38,600.00	C 	CITY OF BLOOMFIELD 	The city of Bloomfield will create the 2.1-acre Bloomfield Nature Park. In addition to the 2.1 acre acquisition, the project scope includes removing an abandoned mobile home and constructing an RV campground. 	BLOOMFIELD NATURE PARK 	KNOX 	3	  2.1
NE 	1,027	2015 	LAKEVIEW PARK IMPROVEMENTS - LINCOLN 	A 	50,000.00	R 	CITY OF LINCOLN 	The city of Lincoln will renovate Lakeview Park by replacing outdated playground equipment with new, accessible playground apparatus plus repairing a picnic shelter, drinking fountain and basketball court as well as constructing a walking path. 	LAKEVIEW PARK 	Lancaster 	1	  2.7
NH 	696	2015 	ABENAKI SKI AREA 4-SEASON LODGE 	A 	159,675.00	D 	TOWN OF WOLFEBORO 	The town of Wolfeboro (Carroll County) will construct an all season lodge at the Abenaki Ski Area. The grant scope includes a ski lodge and trailhead restroom facility that will serve the Abenaki Ski Area, 30 km of cross-country ski and snowshoe trails, summer walkers, and bikers using the extensive network of trails. The lodge will house a warming and changing area, restrooms, ski patrol, and storage for outdoor recreation equipment (ski race gates, freestyle ski tools, ski waxing area). 	ABENAKI SKI AREA 	CARROLL 	1	  42.7
NH 	697	2015 	THOMPSON FOREST 	A 	159,675.00	A 	TOWN OF DURHAM 	The town of Durham will acquire 43.0 acres for the creation of a town forest. This includes 3,500 feet of frontage along the federally designated “wild and scenic” Lamprey River. 	THOMPSON FOREST 	STRAFFORD 	1	  43.0
NH 	698	2015 	CITY HILL TOWN FOREST 	A 	159,675.00	A 	TOWN OF NELSON 	The town of Nelson (Cheshire County) will acquire 588.0 acres for a town forest. 	CITY HILL TOWN FOREST 	CHESHIRE 	2	  588.0
NH 	699	2015 	COCHECO RIVER PARK 	A 	159,675.00	D 	CITY OF DOVER 	The city of Dover (Strafford County) will develop a river walk trail and a boating access site at Cocheco River Park. 	COCHECO RIVER PARK 	STRAFFORD 	1	  0.0
NH 	700	2015 	MERRIMACK RIVER GREENWAY TRAIL 	A 	106,450.00	D 	CITY OF CONCORD 	The city of Concord (Merrimack County) will construct a connecting trail and nature boardwalk trail within Terrill Park. The grant scope includes constructing approximately 150’ of 12’-wide shared use trail and 100’ of 12’-wide boardwalk. 	TERRILL PARK 	Merrimack 	2	  26.0
NH 	701	2015 	PULPIT ROCK CONSERVATION AREA TRAILS 	A 	45,241.00	D 	TOWN OF BEDFORD 	The town of Bedford (Hillsborough County) will develop an accessible trail within the Pulpit Rock Conservation Area. The grant scope also includes the construction of a bridge across Pulpit Brook near Gage’s Mill. 	PULPIT ROCK CONSERVATION AREA 	HILLSBOROUGH 	1	  338.0
NH 	702	2015 	OSGOOD POND RESTORATION 	A 	159,675.00	D 	TOWN OF MILFORD 	The town of Milford (Hillsborough County) will restore Osgood Pond. The grant scope entails restoration of approximately 5 acres of the pond through dredging and constructing a boat launch, fishing pier and picnic area. 	OSGOOD POND 	HILLSBOROUGH 	2	  22.0
NH 	703	2015 	OM-A-CAN-CANOE AND KAYAK LAUNCH 	A 	39,918.00	C 	TOWN OF RAYMOND 	The town of Raymond (Rockingham County) will acquire 1.4 acres with 230 feet of frontage on the Lamprey River for the purpose of creating a new public park to be known as the Om-a-can-canoe and Kayak Launch on the Lamprey. 	OM-A-CAN-CANOE AND KAYAK LAUNCH ON THE LAMPREY 	ROCKINGHAM 	1	  1.4
NJ 	390	2015 	Worthington State Forest Expansion Acquisition 	A 	503,050.00	A 	NEW JERSEY DEPARTMENT OF ENVIRONMENTAL RESOURCES 	The state will acquire 176.5 acres of property located in Knowlton Township, NJ that will be added to the existing 6,600 acres of Worthington State Forest. 	Worthington State Forest 	WARREN 	5	  176.5
NJ 	391	2015 	Addition to Trout Brook Wildlife Management Area 	A 	241,375.00	A 	NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION 	NJDEP will acquire 92.85 acres for an addition to Trout Brook Wildlife Management Area. 	Trout Brook Wildlife Management Area 	SUSSEX 	5	  92.9
NJ 	392	2015 	Addition to Tuckahoe Wildlife Management Area 	A 	385,209.00	A 	NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION 	The State of New Jersey will acquire 695.82+ acres of property in Upper Township, NJ as an addition to Tuckahoe Wildlife Management Area. 	Tuckahoe Wildlife Management Area 	CAPE MAY 	2	  695.8
NM 	1,206	2015 	HYDE MEMORIAL STATE PARK DEVELOPMENT 	A 	150,000.00	D 	NM STATE PARKS 	Develop a new campground and support facilities at the Johnson Tract area of Navajo Lake State Park.	HYDE MEMORIAL STATE PARK 	Santa Fe 	3	  350.0
NM 	1,207	2015 	NAVAJO LAKE STATE PARK DEVELOPMENT 	A 	400,480.19	D 	NM STATE PARKS 	New Mexico State Parks will develop a new campground and support facilities within the Johnson Tract area of Navajo Lake State Park. The grant scope entails construction of shelters, tables, fire-rings, activity area, parking, 2 vault toilets, 20 campsites, and roads. 	NAVAJO LAKE STATE PARK 	San Juan 	3	  66.0
NV 	337	2015 	SAND HARBOR RESTROOM REPLACEMENT 	A 	440,000.00	R 	NEVADA DIVISION OF STATE PARKS 	Removal and replacement of three restroom buildings and directly related site improvements, and installation of a new entrance lane and two new fee kiosks.  	LAKE TAHOE-NEVADA STATE PARK 	Washoe 	2	  14,687.8
NY 	1,318	2015 	ALLEGHANY STATE PARK QUAKER BEACH BATHHOUSE RENOVA 	A 	1,750,000.00	R 	NEW YORK OFFICE OF PARKS, RECREATION AND HISTORIC PRESERVATION 	The project will replace the dated and deteriorated Quaker Beach bathhouse at Allegany State Park, including site amenities such as walkways, sidewalks, shower towers, picnic area/patio, and playgrounds.  	ALLEGHENY STATE PARK 	Cattaraugus 	23	  64.8
NY 	1,319	2015 	ROBERT MOSES STATE PARK FIELD 5 BATHHOUSE RENOVATI 	A 	2,261,583.71	R 	NEW YORK OFFICE OF PARKS, RECREATION AND HISTORIC PRESERVATION 	The project is a major rehabilitation of the existing bathhouse facilitiy, including showers and restrooms, at Field 5 of Robert Moses State Park.  	ROBERT MOSES STATE PARK 	Suffolk 	23	  875.0
OH 	1,390	2015 	ADAM'S RUN TRAIL AND GREENWAY ACQUISITION 	A 	30,550.00	A 	CITY OF AKRON 	The city of Akron will acquire 3.19 acres for the creation of the Adam’s Run Trail and Greenway. 	ADAM'S RUN TRAIL AND GREENWAY 	SUMMIT 	13	  3.2
OH 	1,393	2015 	ACCESSIBLE PAVILION AT BARNES PRESERVE 	A 	15,000.00	D 	WAYNE COUNTY PARK DISTRICT 	The Wayne County Park District will construct an accessible pavilion at the Barnes Preserve. 	BARNES PRESERVE 	ASHLAND 	16	  69.0
OH 	1,394	2015 	BOWLING GREEN NORTH PARKLAND ACQUISITION 	C 	87,500.00	A 	CITY OF BOWLING GREEN 	The city of Bowling Green (Wood County) will purchase 20 acres for the future development of sports and playfields. 	UNNAMED NEW PARK 	WOOD 	5	  20.0
OH 	1,398	2015 	VERMILION LAKESHORE PRESERVE ACQUISITION 	A 	87,500.00	A 	CITY OF VERMILION 	The city of Vermilion will acquire 0.4346 acre of land along the Lake Erie shoreline for the future development of swimming and fishing facilities. 	VERMILION LAKESHORE PRESERVE 	ERIE 	9	  0.4
OH 	1,405	2015 	FRANKFORT PARK EXPANSION 	A 	37,500.00	A 	VILLAGE OF FRANKFORT 	The village of Frankfort (Ross County) will purchase 23.23 acres of undeveloped land along the North Fork of Paint Creek as an addition to Brad Lightle Park. 	BRAD LIGHTLE PARK 	ROSS 	15	  27.9
OH 	1,412	2015 	MAUMEE STATE FOREST ACQUISITION 	A 	380,983.00	A 	DEPT. OF NATURAL RESOURCES 	The Ohio Department of Natural Resources (Division of Forestry) will purchase 113 acres in Fulton and Henry Counties as an addition to Maumee State Forest. The property adjoins the Wabash Cannonball Trail. 	MAUMEE STATE FOREST 	FULTON 	5	  3,215.0
OH 	1,413	2015 	SEBALD METROPARK ACQUISITION 	A 	187,500.00	A 	METROPARKS OF BUTLER COUNTY 	Butler County MetroParks will utilize a Land and Water Conservation Fund grant to assist in acquiring 456.3 acres as an addition to Sebald MetroPark. 	SEBALD METROPARK 	BUTLER 	8	  794.3
OH 	1,414	2015 	DAVID WILLIAMS MEMORIAL PARK COMPLETION PROJECT 	A 	187,500.00	D 	CITY OF WILMINGTON 	The town of Wilmington (Clinton County) will utilize a Land and Water Conservation Fund grant to assist in improving David Williams Memorial Park by constructing a splash park, skateboarding area, and BMX biking area. 	DAVID R. WILLIAMS PARK 	Clinton 	15	  55.0
OH 	1,415	2015 	WILLARD RUN WETLANDS ACQUISITION 	A 	91,408.00	A 	COLUMBIANA COUNTY PARK DISTRICT 	The Columbiana County Park District will utilize a Land and Water Conservation Fund grant to assist in the acquisition of 53.7 acres which includes wetlands and tributary streams to Willard Run and Little Beaver Creek. 	WILLARD RUN WETLANDS 	COLUMBIANA 	6	  53.7
OH 	1,416	2015 	VOINOVICH PARK RESTROOM AND RECREATION IMPROVEMENT 	A 	187,500.00	D 	CITY OF CLEVELAND 	The city of Cleveland’s Department of Port Control will utilize a Land and Water Conservation Fund grant to assist in improving Voinovich Park by constructing volleyball and bocce ball courts and converting the sand volleyball courts into a winter ice skating rink.  	VOINOVICH PARK 	CUYAHOGA 	11	  3.8
OH 	1,417	2015 	CENTRAL ACQUISITION - LAKE ERIE WATERFRONT TRAIL 	A 	55,498.00	A 	CITY OF EUCLID 	The city of Euclid will utilize a Land and Water Conservation Fund grant to assist in acquiring approximately 0.42 acre of waterfront property for the Lake Erie Waterfront Trail. 	LAKE ERIE WATERFRONT TRAIL 	CUYAHOGA 	11	  0.4
OH 	1,418	2015 	GREENVILLE BAND SHELL RENOVATION 	A 	187,500.00	R 	CITY OF GREENVILLE 	The city of Greenville (Darke County) will utilize a Land and Water Conservation Fund grant to assist in renovating a band shell within Greenville City Park. 	GREENVILLE CITY PARK 	DARKE 	8	  43.0
OH 	1,419	2015 	IVESTER PARK PLAYGROUND IMPROVEMENTS 	A 	25,000.00	D 	VILLAGE OF ARCANUM 	The village of Arcanum will utilize a Land and Water Conservation Fund grant to assist with installing a playground at Ivester Park. The grant scope includes a safety surface, a playground border, and associated seating. 	IVESTER PARK 	DARKE 	8	  12.4
OH 	1,420	2015 	HOFFMAN FOREST RESERVE ACQUISITION 	A 	67,783.00	A 	ERIE METROPARKS 	Erie MetroParks in Erie County will utilize a Land and Water Conservation Fund grant to assist in acquiring a 40-acre tract known as the Hoffman Reserve. 	HOFFMAN FOREST RESERVE 	ERIE 	4	  40.0
OH 	1,421	2015 	RICHARDSON PARK RESTROOM FACILITIES 	A 	29,347.00	D 	VILLAGE OF LOCKLAND 	The village of Lockland (Hamilton County) will utilize a Land and Water Conservation Fund grant to assist with installing a permanent restroom facility in Richardson Park. 	RICHARDSON PARK 	HAMILTON 	1	  1.6
OH 	1,422	2015 	ADA MUNICIPAL POOL IMPROVEMENTS 	A 	187,500.00	R 	VILLAGE OF ADA 	The village of Ada (Hardin County) will utilize a Land and Water Conservation Fund grant to assist with improving the Ada Municipal Swimming Pool by renovating the bathhouse, pool, pool deck, and adding a spray pool. 	ADA MUNICIPAL SWIMMING POOL 	HARDIN 	5	  1.8
